id,categ_id,pos_categ_ids,standard_price,barcode,is_published,product_tag_ids,is_favorite,name,lst_price,default_code,type,product_template_variant_value_ids
__export__.product_template_bf7d494f,AMERICANOS,,521.66,,True,,,FRIGORÍFICO PUERTA FRANCESA BOLERO COOLMARKET FD 436 INOX E,869.0,01951,consu,
__export__.product_template_03e3e0b4,AMERICANOS,,371.5,,True,,,AMERICANO BOLERO COOL MARKET SBS 430 BLANCO,589.0,02437,consu,
__export__.product_template_eb40e424,ASPIRADOR,,41.98,,True,,,ASPIRADOR CONGA ROCKSTAR MICRO ESSENTIAL,55.0,08380,consu,
__export__.product_template_ed6eccbe,ASPIRADOR,,27.63,,True,,,ASPIRADOR LIMPIACRISTALES,35.0,08058,consu,
__export__.product_template_4a3289c2,BASCULA,,12.61,,True,,,BASCULA DE COCINA DIGITAL COOK CONTROL,19.0,04236,consu,
__export__.product_template_a36a4fe3,BASCULA,,33.53,,True,,,SURFACE PRECISION 10600 SMART HEALTHY PRO DARK GREY,40.0,04265,consu,
__export__.product_template_35ff87b5,BATIDORAS MANO,,18.26,,True,,,BATIDORA MANO POWER retro azul 1200w,30.0,03938,consu,
__export__.product_template_8a60483b,BATIDORAS MANO,,18.26,,True,,,BATIDORA MANO POWER retro rojo 1200w,30.0,03939,consu,
__export__.product_template_f66ee376,BATIDORAS MANO,,18.26,,True,,,BATIDORA MANO POWER retro verde 1200w,30.0,03945,consu,
__export__.product_template_3e4da400,BATIDORAS MANO,,24.08,,True,,,BATIDORA MANO POWER PULSAR 2300W,39.0,03909,consu,
__export__.product_template_35b53cb0,BATIDORAS MANO,,25.67,,True,,,BATIDORA MANO KATANA 12 JAR G,45.0,03965,consu,
__export__.product_template_52b95c44,BATIDORAS MANO,,36.49,,True,,,BATIDORA MANO KATANA 1500W CHOP,55.0,03975,consu,
__export__.product_template_9e5e476e,BATIDORAS VASO,,24.87,,True,,,BATIDORA VASO POWER BLACK TITANIUM - RETRO AZUL,45.0,03883,consu,
__export__.product_template_4b1085bd,BATIDORAS VASO,,18.63,,True,,,BATIDORA VASO RETRO ROJO,35.0,03935,consu,
__export__.product_template_f9c82378,BATIDORAS VASO,,18.63,,True,,,BATIDORA VASO POWER TITANIUM 500 EASYGO,30.0,03987,consu,
__export__.product_template_fb8f0be6,BATIDORAS VASO,,49.79,,True,,,BATIDORA VASO 2500W - BOTELLA REGALO,79.0,04310,consu,
__export__.product_template_49f9dee3,CAFETERAS,,22.84,,True,,,CAFETERA ITALIANA INDUCCION 4T,35.0,01621,consu,
__export__.product_template_a3f8e66b,CAFETERAS,,11.46,,True,,,CAFETERA ITALIANA ALUMINIO 12TAZAS -,18.0,01669,consu,
__export__.product_template_9b8a2adf,CAFETERAS,,27.22,,True,,,CAFETERA 66 DROP&THERMO TIME,40.0,00274,consu,
__export__.product_template_a1c36043,CAFETERAS,,52.49,,True,,,CAFETERA EXPRESSO CUMBIA CAPRICCIOSA BLANCA,69.0,01595,consu,
__export__.product_template_5c6dc5b6,CAFETERAS,,57.54,,True,,,CAFETERA POWER EXPRESSO 20 RETRO VERDE,89.0,01723,consu,
__export__.product_template_695d1572,CAFETERAS,,53.86,,True,,,CAFETERA EXPRESSO VINTAGE BEIGE,99.0,01585,consu,
__export__.product_template_6accf2ed,CAFETERAS,,57.04,,True,,,CAFETERA EXPRESSO CAFELIZZIA 790 NEGRO,89.0,01651,consu,
__export__.product_template_f846e258,CAFETERAS,,62.93,,True,,,CAFETERA VINTAGE ROJO,90.0,01727,consu,
__export__.product_template_91f1d8a8,CAFETERAS,,65.38,,True,,,CAFETERA VINTAGE AMARILLA,99.0,01629,consu,
__export__.product_template_8351b62d,CAFETERAS,,84.43,,True,,,CAFETERA SEMIAUTOMATICA POWER-INSTANT SERIE BIANCA,129.0,01557,consu,
__export__.product_template_4110d678,CALEFACCIÓN,,40.11,,True,,,CHIMENEA ELÉCTRICA READYWARM 2000 FLAMES,55.0,08268,consu,
__export__.product_template_7da71523,DEPILADORAS/CORTAPELOS,,13.56,,True,,,DEPILADORA BAMBA SKINCARE DEPIL-ACTION,25.0,04334,consu,
__export__.product_template_dea279ac,DEPILADORAS/CORTAPELOS,,16.63,,True,,,AFEITADORA DE CABEZA,29.0,04443,consu,
__export__.product_template_07382780,DEPILADORAS/CORTAPELOS,,27.93,,True,,,MULTIGROMING 10EN1 - TWISTGROOM CORTAPELOS,45.0,04194,consu,
