"Compañía","Moneda","Plantilla de producto","Plazo de entrega","Precio","Proveedor","Secuencia"
"El Pelotazo Electrohogar","EUR","[BHB3525] BATIDORA VARILLA CON ACCESORIOS","1","22.09","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[BTB5027] BATIDORA VASO - BECKEN - 1000W","1","20.91","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[KTB5023] BATIDORA VASO - BECKEN - 500W","1","12.35","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[KDW5136SL] (KUNFT) LAVAVAJILLAS INOX 60CM","1","190.26","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[BAF7528] FREIDORA AIRE 5L - 1500W - NEGRA","1","40.93","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[KSD9124 WH] (KUNFT) FRIGORÍFICO 1P BAJO ENCIMERA BLANCO","1","119.41","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[BC4322WH] (BECKEN) COMBI NF BLANCO 1,85M","1","259.86","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[BC4322IX] (BECKEN) COMBI NF INOX 1,85M","1","261.84","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[KC9113WH] (KUNFT) COMBI 1,80M X 55CM BLANCO - CICLICO","1","167.47","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[KC9134WH] (KUNFT) FRIGORÍFICO COMBI  1,43M","1","148.93","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[BSD9267WH] (BECKEN) FRIGORÍFICO 1P BLANCO - NF - 1,72","1","265.0","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[BCF8338] (BECKEN)ARCON CONGELADOR 418L","1","282.11","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[KUF9126WH] (KUNFT) CONGELADOR CAJONES VERTICAL 91L","1","117.25","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[KUF9261WH] (KUNFT) CONGELADOR 1P - 1,43M","1","155.98","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[BUF9268WH] (BECKEN) CONGELADOR VERTICAL NO FROST","1","279.99","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[BECM2493] (BECKEM) CAFETERA EXPRESSO","1","40.31","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[BT8759] (BECKEN) TOSTADOR 2 RANURAS XL BLANCO","1","22.09","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[BT4606] (BECKEN) TOSTADOR 2 RANURAS ROJA","1","15.79","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[BMO4135] (BECKEN) MINI HORNO 30L","1","56.23","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[BKS4478] (BECKEN) PESO/BALANZA COCINA CON TAZON","1","8.88","BECKEN","1"
"El Pelotazo Electrohogar","EUR","[CONA90PBX] (JOHNSON) COCINA 90CM HORNO/PORTABOM INOX","1","353.12","EAS-JOHNSON","1"
