default_code,name,type,standard_price,list_price,categ_id,supplier_id,active,sale_ok,purchase_ok
ADR128,A/A PORTATIL + CALEFACCION,consu,265.8,330.0,Aire Acondicionado,ORBEGOZO,True,True,True
ADR97,A/A PORTATIL  + CALEFACCION,consu,177.6,230.0,Aire Acondicionado,ORBEGOZO,True,True,True
AP4600,ASPIRADOR VERTICAL ,consu,139.0,139.0,Aspiradoras,ORBEGOZO,True,True,True
BV2500,BATIDORA PORTATIL USB,consu,24.3,24.0,Batidoras,ORBEGOZO,True,True,True
BA3600,AMASADORA DE MANO ORBEGOZO,consu,29.7,29.0,,ORBEGOZO,True,True,True
BT2680,BATIDORA MANO - 1000W,consu,19.8,35.0,Batidoras,ORBEGOZO,True,True,True
MO 3250,MOLINILLO CAFÉ - 150W,consu,12.52,20.0,,ORBEGOZO,True,True,True
KFR340,CAFETERA ITALIANA ROJA - 3TAZAS,consu,7.2,8.0,Cafeteras,ORBEGOZO,True,True,True
KF 900,CAFETERA ALUMINIO INOX - 9 TAZAS,consu,14.1,15.0,Cafeteras,ORBEGOZO,True,True,True
KFR640,CAFETERA ITALIANA ROJA - 6TAZAS,consu,8.96,10.0,Cafeteras,ORBEGOZO,True,True,True
KFR940,CAFETERA ITALIANA ROJA - 9 TAZAS,consu,12.0,15.0,Cafeteras,ORBEGOZO,True,True,True
KFI660 A,CAFETERA ITALIANA 6T INDUCCION,consu,12.44,15.0,Cafeteras,ORBEGOZO,True,True,True
KFN1210,CAFETERA ITALIANA 12T NEGRO,consu,16.5,15.0,Cafeteras,ORBEGOZO,True,True,True
KFI960,CAFETERA ITALIANA 9T INDUCCION,consu,19.35,20.0,Cafeteras,ORBEGOZO,True,True,True
EX5300,CAFETERA ESPRESSO 20 BAR - NEGRO - INOX,consu,98.5,95.0,Cafeteras,ORBEGOZO,True,True,True
FH5115,CALEFACTOR COMPACTO BLANCO - 2000W,consu,17.77,12.0,,ORBEGOZO,True,True,True
FH5040 A,CALEFACTOR COMPACTO BLANCO - 2000W,consu,20.44,20.0,,ORBEGOZO,True,True,True
FH5140,CALEFACTOR COMPACTO NEGRO - 2000W,consu,20.44,20.0,,ORBEGOZO,True,True,True
FH5034,CALEFACTOR HORIZONTAL BLANCO - 2000W,consu,25.7,20.0,,ORBEGOZO,True,True,True
BB5000,ESTUFA BAÑO PARED INOX - 1200W,consu,24.23,25.0,,ORBEGOZO,True,True,True
BB5002,ESTUFA BAÑO PARED BLANCA - 1200W,consu,24.24,25.0,,ORBEGOZO,True,True,True
FH5237,CALEFACTOR VERTICAL NEGRO - 2000W,consu,29.75,25.0,,ORBEGOZO,True,True,True
CR5016,CALEFACTOR CERÁMICO - 1500W,consu,30.67,25.0,,ORBEGOZO,True,True,True
BP5008,CALENTADOR HALOGENO - 1200W,consu,36.7,30.0,,ORBEGOZO,True,True,True
SP6000,CALEFACTOR DE PARED (BAÑO) - 2000W,consu,63.18,60.0,,ORBEGOZO,True,True,True
RU2000,RADIADOR DE ACEITE (18033),consu,70.54,60.0,,ORBEGOZO,True,True,True
BR90,BRASERO ROJO ELECTRICO (18186,consu,28.0,29.0,,ORBEGOZO,True,True,True
EP4200,EXPRIMIDOR OBEGOZO,consu,49.9,49.0,,ORBEGOZO,True,True,True
EP4300,EXPRIMIDOR OBEGOZO 1100W INOX BRAZO,consu,41.86,40.0,,ORBEGOZO,True,True,True
FDR8010,FREIDORA SIN ACEITE NEGRA (8L),consu,90.0,90.0,,ORBEGOZO,True,True,True
WL1500,GOFRERA BLANCA REDONDA 1000W,consu,24.6,25.0,,ORBEGOZO,True,True,True
SW5000,SANDWICHERA,consu,16.3,30.0,,ORBEGOZO,True,True,True
MI2115,MICROONDAS BLANCO 20L - 700W,consu,69.89,69.0,Microondas,ORBEGOZO,True,True,True
MI2117,MICROONDAS NEGRO 20L,consu,77.09,75.0,Microondas,ORBEGOZO,True,True,True
