Name,Internal Reference,Sales Price,Cost,Product Category,Vendor,Description,Barcode,Product Type,External ID
A/A PORTATIL + CALEFACCION,ADR128,330.0,265.8,Aire Acondicionado,ORBEGOZO,,,Storable Product,ORBEGOZO_ADR128
A/A PORTATIL  + CALEFACCION,ADR97,230.0,177.6,Aire Acondicionado,ORBEGOZO,,,Storable Product,ORBEGOZO_ADR97
ASPIRADOR VERTICAL ,AP4600,139.0,139.0,Aspiradoras,ORBEGOZO,,,Storable Product,ORBEGOZO_AP4600
BATIDORA PORTATIL USB,BV2500,24.0,24.3,Batidoras,ORBEGOZO,,,Storable Product,ORBEGOZO_BV2500
AMASADORA DE MANO ORBEGOZO,BA3600,29.0,29.7,,ORBEGOZO,,,Storable Product,ORBEGOZO_BA3600
BATIDORA MANO - 1000W,BT2680,35.0,19.8,Batidoras,ORBEGOZO,,,Storable Product,ORBEGOZO_BT2680
MOLINILLO CAFÉ - 150W,MO 3250,20.0,12.52,,ORBEGOZO,,,Storable Product,ORBEGOZO_MO 3250
CAFETERA ITALIANA ROJA - 3TAZAS,KFR340,8.0,7.2,Cafeteras,ORBEGOZO,,,Storable Product,ORBEGOZO_KFR340
CAFETERA ALUMINIO INOX - 9 TAZAS,KF 900,15.0,14.1,Cafeteras,ORBEGOZO,,,Storable Product,ORBEGOZO_KF 900
CAFETERA ITALIANA ROJA - 6TAZAS,KFR640,10.0,8.96,Cafeteras,ORBEGOZO,,,Storable Product,ORBEGOZO_KFR640
CAFETERA ITALIANA ROJA - 9 TAZAS,KFR940,15.0,12.0,Cafeteras,ORBEGOZO,,,Storable Product,ORBEGOZO_KFR940
CAFETERA ITALIANA 6T INDUCCION,KFI660 A,15.0,12.44,Cafeteras,ORBEGOZO,,,Storable Product,ORBEGOZO_KFI660 A
CAFETERA ITALIANA 12T NEGRO,KFN1210,15.0,16.5,Cafeteras,ORBEGOZO,,,Storable Product,ORBEGOZO_KFN1210
CAFETERA ITALIANA 9T INDUCCION,KFI960,20.0,19.35,Cafeteras,ORBEGOZO,,,Storable Product,ORBEGOZO_KFI960
CAFETERA ESPRESSO 20 BAR - NEGRO - INOX,EX5300,95.0,98.5,Cafeteras,ORBEGOZO,,,Storable Product,ORBEGOZO_EX5300
CALEFACTOR COMPACTO BLANCO - 2000W,FH5115,12.0,17.77,,ORBEGOZO,,,Storable Product,ORBEGOZO_FH5115
CALEFACTOR COMPACTO BLANCO - 2000W,FH5040 A,20.0,20.44,,ORBEGOZO,,,Storable Product,ORBEGOZO_FH5040 A
CALEFACTOR COMPACTO NEGRO - 2000W,FH5140,20.0,20.44,,ORBEGOZO,,,Storable Product,ORBEGOZO_FH5140
CALEFACTOR HORIZONTAL BLANCO - 2000W,FH5034,20.0,25.7,,ORBEGOZO,,,Storable Product,ORBEGOZO_FH5034
ESTUFA BAÑO PARED INOX - 1200W,BB5000,25.0,24.23,,ORBEGOZO,,,Storable Product,ORBEGOZO_BB5000
ESTUFA BAÑO PARED BLANCA - 1200W,BB5002,25.0,24.24,,ORBEGOZO,,,Storable Product,ORBEGOZO_BB5002
CALEFACTOR VERTICAL NEGRO - 2000W,FH5237,25.0,29.75,,ORBEGOZO,,,Storable Product,ORBEGOZO_FH5237
CALEFACTOR CERÁMICO - 1500W,CR5016,25.0,30.67,,ORBEGOZO,,,Storable Product,ORBEGOZO_CR5016
CALENTADOR HALOGENO - 1200W,BP5008,30.0,36.7,,ORBEGOZO,,,Storable Product,ORBEGOZO_BP5008
CALEFACTOR DE PARED (BAÑO) - 2000W,SP6000,60.0,63.18,,ORBEGOZO,,,Storable Product,ORBEGOZO_SP6000
RADIADOR DE ACEITE (18033),RU2000,60.0,70.54,,ORBEGOZO,,,Storable Product,ORBEGOZO_RU2000
BRASERO ROJO ELECTRICO (18186,BR90,29.0,28.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_BR90
EXPRIMIDOR OBEGOZO,EP4200,49.0,49.9,,ORBEGOZO,,,Storable Product,ORBEGOZO_EP4200
EXPRIMIDOR OBEGOZO 1100W INOX BRAZO,EP4300,40.0,41.86,,ORBEGOZO,,,Storable Product,ORBEGOZO_EP4300
FREIDORA SIN ACEITE NEGRA (8L),FDR8010,90.0,90.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_FDR8010
GOFRERA BLANCA REDONDA 1000W,WL1500,25.0,24.6,,ORBEGOZO,,,Storable Product,ORBEGOZO_WL1500
SANDWICHERA,SW5000,30.0,16.3,,ORBEGOZO,,,Storable Product,ORBEGOZO_SW5000
MICROONDAS BLANCO 20L - 700W,MI2115,69.0,69.89,Microondas,ORBEGOZO,,,Storable Product,ORBEGOZO_MI2115
MICROONDAS NEGRO 20L,MI2117,75.0,77.09,Microondas,ORBEGOZO,,,Storable Product,ORBEGOZO_MI2117
MICROONDAS ORBEGOZO VINTAGE BLANCO/MADERA 20L,MI2122,75.0,66.5,Microondas,ORBEGOZO,,,Storable Product,ORBEGOZO_MI2122
MICROONDAS 20L - SIN PLATO - 700W - 1150W - ,MI2030CE,89.0,91.2,Microondas,ORBEGOZO,,,Storable Product,ORBEGOZO_MI2030CE
"MICROONDAS 25L, BLANCO, 900W+GRILL",MI2531,125.0,127.3,Microondas,ORBEGOZO,,,Storable Product,ORBEGOZO_MI2531
MICROONDAS 20L INOX - ORBEGOZO CON GRILL SIN PLATO,MIG2047,110.0,112.1,Microondas,ORBEGOZO,,,Storable Product,ORBEGOZO_MIG2047
MINI HORNO 15 LITROS NEGRO,HCC5015,65.0,42.9,Hornos,ORBEGOZO,,,Storable Product,ORBEGOZO_HCC5015
MINI HORNO 10 LITROS ESPEJO/BLANCO,HO990,45.0,44.0,Hornos,ORBEGOZO,,,Storable Product,ORBEGOZO_HO990
MINI HORNO 10 LITROS ESPEJO/NEGRO,HO995,45.0,44.0,Hornos,ORBEGOZO,,,Storable Product,ORBEGOZO_HO995
MINI HORNO 10 LITROS - blanco,HO975,40.0,41.0,Hornos,ORBEGOZO,,,Storable Product,ORBEGOZO_HO975
MINI HORNO 10 LITROS - NEGRO,HO985,40.0,41.0,Hornos,ORBEGOZO,,,Storable Product,ORBEGOZO_HO985
PLANCHA GRILL FUNDIDO PEQUEÑA,GDB3600,25.0,26.35,,ORBEGOZO,,,Storable Product,ORBEGOZO_GDB3600
GRILL INOX 900W - PARRILLA,GR3250,30.0,21.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_GR3250
TABLA ASADO 2000W,TB2203,35.0,37.8,,ORBEGOZO,,,Storable Product,ORBEGOZO_TB2203
GRILL 2200W,GR4570,55.0,56.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_GR4570
PLACA VITROCERÁMICA PORTATIL 2F,PCE6000,99.0,104.1,Placas,ORBEGOZO,,,Storable Product,ORBEGOZO_PCE6000
PLACA GAS - CRISTAL NEGRO - 2 FUEGOS,FO 2720,100.0,100.55,Placas,ORBEGOZO,,,Storable Product,ORBEGOZO_FO 2720
PLANCHA SIN VAPOR - 1200W,SV1270,12.0,13.15,,ORBEGOZO,,,Storable Product,ORBEGOZO_SV1270
PLANCHA A VAPOR - 2600W,SV2670,29.0,16.72,,ORBEGOZO,,,Storable Product,ORBEGOZO_SV2670
